22	2	3	190
22	5	3	388
22	8	3	621
22	11	3	823
22	14	3	1078
22	17	3	1132
22	20	3	1191
23	2	3	218
23	5	3	393
23	8	3	568
23	11	3	729
23	14	3	839
23	17	3	852
23	20	3	1004
24	2	3	141
24	5	3	260
24	8	3	472
24	11	3	662
24	14	3	760
24	17	3	885
24	20	3	878
25	2	3	211
25	5	3	394
25	8	3	549
25	11	3	700
25	14	3	783
25	17	3	870
25	20	3	925
26	2	3	209
26	5	3	419
26	8	3	645
26	11	3	850
26	14	3	1001
26	17	3	1026
26	20	3	1069
27	2	3	193
27	5	3	362
27	8	3	520
27	11	3	530
27	14	3	641
27	17	3	640
27	20	3	751
28	2	3	201
28	5	3	361
28	8	3	502
28	11	3	530
28	14	3	657
28	17	3	762
28	20	3	888
29	2	3	202
29	5	3	370
29	8	3	498
29	11	3	650
29	14	3	795
29	17	3	858
29	20	3	910
30	2	3	190
30	5	3	350
30	8	3	510
30	11	3	666
30	14	3	819
30	17	3	879
30	20	3	929
31	2	3	219
31	5	3	399
31	8	3	578
31	11	3	699
31	14	3	709
31	17	3	822
31	20	3	953
32	2	3	225
32	5	3	400
32	8	3	545
32	11	3	690
32	14	3	796
32	17	3	825
32	20	3	836
33	2	3	224
33	5	3	381
33	8	3	577
33	11	3	756
33	14	3	869
33	17	3	929
33	20	3	999
34	2	4	187
34	5	4	329
34	8	4	441
34	11	4	525
34	14	4	589
34	17	4	621
34	20	4	796
35	2	4	278
35	5	4	471
35	8	4	606
35	11	4	770
35	14	4	888
35	17	4	1001
35	20	4	1105
