File Version;BWSpec 3.27
Date;2017-08-22 14:46:26
title;ZEWN+LZX
model;BRC112P+BTC261E_512
c code;ZEWN+LZX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;1844
step;1
units;1
bkcolor;16777215
show_mode;5
data_mode;0
pixel_mode;0
intigration times;150
average number;1
spectrometer_type ;0
yaxis;1
yaxis_min;-0.200000000000045
yaxis_max;0.5
xaxis;0
xaxis_min;0
xaxis_max;1844
irrands_DispWLMin;0
irrands_DispWLMax;0
yaxis_min_6;0
yaxis_max_6;5
irradiance_unit;0
coefs_a0;0
coefs_a1;0
coefs_a2;0
coefs_a3;0
coefs_b0;0
coefs_b1;0
coefs_b2;0
coefs_b3;0
all_data_save;1
select_option;-1
interval_time;1
pixel_num;1845
sel_pixel_start;0
sel_pixel_end;1844
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;0
vertical_line4_wv;0
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;0
overlay_js;0
Relative Intensity Correction Flag;0
combined channel;1
Pixel;Wavelength;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Raw data #2;Dark Subtracted #2;%TR #2;Absorbance #2;Raw data #3;Dark Subtracted #3;%TR #3;Absorbance #3;Lamp FitCurve;Irradiance Ratio;Irradiance_1(W/cm^2/nm);Irradiance_2(W/cm^2/nm);Irradiance_3(W/cm^2/nm)
0;349.84;1161.6000;1266.6000;1252.28;90.6800;86.3619;0.0637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
1;350.27;1160.7200;1263.5600;1250.28;89.5600;87.0867;0.0600;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
2;350.71;1161.2000;1262.8400;1245.08;83.8800;82.5266;0.0834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
3;351.14;1158.9600;1264.0400;1241.80;82.8400;78.8352;0.1033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
4;351.58;1150.2400;1259.6400;1236.76;86.5200;79.0859;0.1019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
5;352.01;1144.0800;1256.9200;1234.12;90.0400;79.7944;0.0980;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
6;352.45;1145.2800;1255.9600;1235.16;89.8800;81.2071;0.0904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
7;352.88;1151.1200;1255.3200;1232.68;81.5600;78.2726;0.1064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
8;353.32;1151.3600;1252.2000;1232.12;80.7600;80.0873;0.0964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
9;353.75;1153.6000;1250.1200;1232.04;78.4400;81.2681;0.0901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
10;354.19;1154.8000;1250.3600;1231.00;76.2000;79.7405;0.0983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
11;354.62;1152.8800;1253.8800;1232.44;79.5600;78.7723;0.1036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
12;355.05;1152.1600;1257.6400;1235.80;83.6400;79.2947;0.1008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
13;355.49;1158.8800;1262.7600;1236.12;77.2400;74.3550;0.1287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
14;355.92;1161.4400;1263.8800;1237.24;75.8000;73.9945;0.1308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
15;356.36;1156.6000;1261.0800;1232.76;76.1600;72.8943;0.1373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
16;356.79;1154.1200;1263.3200;1234.28;80.1600;73.4066;0.1343;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
17;357.23;1152.5200;1259.6400;1235.48;82.9600;77.4459;0.1110;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
18;357.66;1150.7600;1262.3600;1237.64;86.8800;77.8495;0.1087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
19;358.09;1148.1200;1263.7200;1239.00;90.8800;78.6159;0.1045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
20;358.53;1143.6400;1263.4800;1245.48;101.8400;84.9800;0.0707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
21;358.96;1140.4400;1261.7200;1241.48;101.0400;83.3113;0.0793;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
22;359.39;1142.0400;1256.2800;1238.60;96.5600;84.5238;0.0730;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
23;359.83;1146.5200;1258.3600;1237.96;91.4400;81.7597;0.0875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
24;360.26;1146.7600;1260.0400;1237.64;90.8800;80.2260;0.0957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
25;360.70;1142.4400;1260.2800;1235.48;93.0400;78.9545;0.1026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
26;361.13;1140.9200;1262.6800;1238.04;97.1200;79.7635;0.0982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
27;361.56;1141.3200;1265.3200;1237.40;96.0800;77.4839;0.1108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
28;362.00;1141.0000;1265.4800;1241.80;100.8000;80.9769;0.0916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
29;362.43;1144.4400;1267.5600;1245.52;101.0800;82.0988;0.0857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
30;362.86;1143.0000;1271.4800;1251.52;108.5200;84.4645;0.0733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
31;363.29;1139.5600;1275.3200;1256.48;116.9200;86.1226;0.0649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
32;363.73;1137.0000;1280.4400;1262.88;125.8800;87.7579;0.0567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
33;364.16;1138.8400;1289.2400;1268.48;129.6400;86.1968;0.0645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
34;364.59;1140.4400;1296.5200;1276.72;136.2800;87.3142;0.0589;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
35;365.03;1136.9200;1301.4800;1282.48;145.5600;88.4541;0.0533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
36;365.46;1138.6800;1308.5200;1288.40;149.7200;88.1536;0.0548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
37;365.89;1137.4800;1316.6800;1290.00;152.5200;85.1116;0.0700;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
38;366.33;1134.3600;1326.9200;1296.00;161.6400;83.9427;0.0760;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
39;366.76;1136.7600;1340.0400;1309.92;173.1600;85.1830;0.0696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
40;367.19;1137.1600;1357.1600;1326.80;189.6400;86.2000;0.0645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
41;367.62;1144.1200;1374.4400;1338.00;193.8800;84.1785;0.0748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
42;368.06;1146.8400;1393.7200;1352.04;205.2000;83.1173;0.0803;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
43;368.49;1150.6800;1411.0800;1367.96;217.2800;83.4409;0.0786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
44;368.92;1155.5600;1440.7600;1388.52;232.9600;81.6830;0.0879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
45;369.35;1160.6000;1466.6800;1410.44;249.8400;81.6257;0.0882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
46;369.78;1167.8800;1497.0800;1439.00;271.1200;82.3572;0.0843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
47;370.22;1169.9600;1533.8000;1469.72;299.7600;82.3879;0.0841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
48;370.65;1174.2800;1568.9200;1499.96;325.6800;82.5258;0.0834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
49;371.08;1176.2000;1612.1200;1532.84;356.6400;81.8132;0.0872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
50;371.51;1179.6400;1663.4000;1576.92;397.2800;82.1234;0.0855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
51;371.94;1185.0000;1724.6800;1623.88;438.8800;81.3223;0.0898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
52;372.38;1190.2000;1799.4000;1685.72;495.5200;81.3395;0.0897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
53;372.81;1197.0800;1886.3600;1748.36;551.2800;79.9791;0.0970;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
